,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
側,141,11,"[' near/close/beside/vicinity/proximity/besides/while third person,', "" side (of something, or taking someone's side)/part (watch) case,"", ' side/edge/beside/besides/nearby while (doing)/in addition to/at the same time,', ' first principle of the Eight Principles of Yong/tiny dash or speck]']","['そば', 'がわ', 'かたわら', 'ら', 'そく']","['⺅', '貝', '目', 'ハ', '刂']",['側'],[4],['形声 Phonetic'],[3],[155653],[155635],['P']
偶,142,11,"[' occasionally/once in a while/seldom casually/unexpectedly/accidentally/by chance,', ' occasional/infrequent/rare,', ' even number/even spouse/mate]']","['たまたま', 'たま', 'ぐう']","['⺅', '田', '冂', '厶', '禸']",['偶'],[7],['形声 Phonetic'],[3],[5943],[5943],['S']
偸,143,11,[],[],"['⺅', '刂', '月', '𠆢']",,,,,,,
偽,144,11,"[' imitation/fake/phony/counterfeit/forged/bogus/sham pseudo-,', ' falseness (logic)/falsehood]']","['にせ', 'ぎ']","['⺅', '丶', '灬']",['偽'],[7],['形声 Phonetic'],[1],[33521],[33521],['R']
傀,145,12,[],[],"['⺅', '鬼', '田', '儿', '匕', '厶']",,,,,,,
傅,146,12,[' instructor/tutor (to a prince)]'],['めのと'],"['⺅', '寸', '田', '丶']",,,,,,,
傍,147,12,"[' near/close/beside/vicinity/proximity/besides/while third person,', ' incidentally/at the same time,', ' side/edge/beside/besides/nearby while (doing)/in addition to/at the same time]']","['そば', 'かたがた', 'かたわら', 'ら']","['⺅', '并', '方', '立', '亠', '冖']",['傍'],[7],['形声 Phonetic'],[1],[5937],[5786],['R']
傑,148,13,[' the top (e.g. top ten)/the best]'],['けつ'],"['⺅', '舛', '木', '夕']",['傑'],[7],['形声 Phonetic'],[1],[3843],[2426],['S']
傘,149,12,"[' umbrella/parasol something shaped like an umbrella or a conical hat/shade (of a lamp)/mushroom cap/pileus,', ' paper umbrella/bamboo-and-paper umbrella parasol]']","['かさ', 'からかさ', 'から']","['十', '人', '𠆢']",['傘'],[7],['象形 Pictographic'],[1],[9416],[9409],['S']
備,150,12,[],[],"['⺅', '用', '厂', '⺾']",['備'],[5],['形声 Phonetic'],[3],[126682],[124317],['P']
傭,151,13,[' employee/employment]'],"['やとい', 'い']","['ヨ', '⺅', '用', '广']",,,,,,,
傲,152,13,[],[],"['⺅', '土', '方', '攵']",['傲'],[7],['形声 Phonetic'],[0],[308],[308],['.']
債,153,13,[' debt/loan]'],['さい'],"['⺅', '貝', '目', 'ハ', '土', '亠']",['債'],[7],['形声 Phonetic'],[1],[56470],[55602],['S']
傷,154,13,"["" wound/injury/cut/gash/bruise/scratch/scrape/scar chip/crack/scratch/nick flaw/defect/weakness/weak point stain (on one's reputation)/disgrace/dishonor/dishonour (emotional) hurt/hurt feelings]""]",['きず'],"['ノ', '⺅', '日', '勿']",['傷'],[6],['形声 Phonetic'],[1],[63587],[63579],['P']
傾,155,13,[' slanting/tilted/sloping/diagonal/oblique distorted (feeling)/slanted (e.g. view of the world)/bad (mood)/amiss/awry]'],"['ななめ', 'め']","['⺅', '貝', '目', 'ハ', '頁', '匕']",['傾'],[7],['形声 Phonetic'],[2],[24307],[24299],['S']
僅,156,12,[],[],"['⺅', '土', '⺾', '口']",['僅'],[7],['形声 Phonetic'],[0],[134],[134],['.']
像,157,14,[' image/figure/statue/picture/portrait figure/form/shape/appearance image]'],['ぞう'],"['⺅', '勹', '豕', '口', '一']",['像'],[5],['形声 Phonetic'],[2],[50722],[49930],['P']
僚,158,14,[],[],"['⺅', '小', '日']",['僚'],[7],['形声 Phonetic'],[1],[41142],[41136],['S']
僧,159,13,[' monk/priest sangha (the Buddhist community)]'],['そう'],"['⺅', '田', '日', '并']",['僧'],[7],['形声 Phonetic'],[1],[3804],[3781],['S']
僭,160,14,[],[],"['⺅', '日', '亠', '无']",,,,,,,
僻,161,15,"[' evil/untrue/erroneous,', ' prejudice/bias/warped view/jealousy/inferiority complex,', ' secluded leaning to one side]']","['ひが', 'ひがみ', 'み', 'へき']","['⺅', '口', '十', '辛', '立', '尸']",,,,,,,
儀,162,15,[' ceremony matter/affair with regard to/as for/as concerns]'],['ぎ'],"['一', '王', '⺅', '并', '羊', '亅', '戈', '手']",['儀'],[7],['形声 Phonetic'],[1],[25031],[24131],['P']
億,163,15,"[' 10^8/100,000,000/hundred million]']",['おく'],"['音', '⺅', '心', '日', '立']",['億'],[4],['形声 Phonetic'],[2],[172259],[172258],['.']
儒,164,16,[' Confucianism/Confucianist/Chinese scholar]'],['じゅ'],"['雨', '⺅', '而']",['儒'],[7],['形声 Phonetic'],[1],[493],[493],['S']
儘,165,16,[' as it is/as one likes/because/as condition/state sic/sic erat scriptum/the quoted matter has been transcribed exactly as found in the source text]'],['まま'],"['ヨ', '⺅', '皿', '灬']",,,,,,,
儡,166,17,[],[],"['⺅', '田']",,,,,,,
優,167,17,"[' gentle/affectionate,', ' Excellent (grade)/A superiority/excellence gentle/graceful/elegant skillful]']","['やさ', 'ゆう']","['一', '⺅', '心', '白', '冖', '夂', '自']",['優'],[6],['形声 Phonetic'],[3],[183796],[175331],['R']
儷,168,21,[],[],"['⺅', '鹿', '比', '冂', '广']",,,,,,,
元,169,4,"["" origin/source base/basis/foundation/root cause ingredient/material (somebody's) side/(somebody's) location original cost (or capital, principal, etc.) (plant) root/(tree) trunk first section of a waka counter for blades of grass, tree trunks, etc., and for falcons (in falconry) 10. handle (chopsticks, brush, etc.)/grip,"", ' unknown (e.g. in an equation) element (of a set) yuan (monetary unit of China) New Taiwan dollar Yuan dynasty (China, 1271-1368)/Yüan dynasty/Mongol dynasty,', ' former/ex-/past/one-time earlier times/the past/previous state formerly/previously/originally/before, ユアン', ' yuan (monetary unit of China)]']","['もと', 'げん', 'もと']","['二', '儿', '元']",['元'],[2],['象形 Pictographic'],[4],[301141],[284013],['S']
兄,170,5,"[' older brother/elder brother,', ' you Mr/Mister older brother/elder brother,', ' older brother/elder brother,', ' eldest son older brother/older sister older person head of a clan/head of a region skilled craftsman]']","['あに', 'けい', 'にい', 'このかみ']","['口', '儿']",['兄'],[2],['会意 Com. Ideographic'],[4],[17286],[17153],['S']
充,171,6,[],[],"['亠', '儿', '厶']",['充'],[7],['象形 Pictographic'],[1],[31607],[27597],['R']
兆,172,6,"[' 10^12/1,000,000,000,000/trillion sign/omen/indication/portent]']",['ちょう'],"['儿', '冫']",['兆'],[4],['象形 Pictographic'],[2],[50730],[50537],['P']
先,173,6,"[' a short while ago/a moment ago/just now/some time ago,', ' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' former/previous/old first move (in go, shogi, etc.)/opening move]']","['さっき', 'さき', 'せん']","['ノ', '土', '儿']",['先'],[1],['会意 Com. Ideographic'],[5],[350771],[349259],['R']
光,174,6,[' light illumination/ray/beam/gleam/glow happiness/hope influence/power vision/eyesight]'],['ひかり'],"['一', '⺌', '儿']",['光'],[2],['会意 Com. Ideographic'],[3],[115368],[68528],['S']
克,175,7,[],[],"['口', '十', '儿']",['克'],[7],['象形 Pictographic'],[1],[22580],[6399],['S']
免,176,8,[' dismissal/discharge]'],['めん'],"['｜', '一', '勹', '口', '儿', '免']",['免'],[7],['象形 Pictographic'],[1],[24881],[24617],['S']
兎,177,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['ノ', '丶', '儿', '口', '｜']",,,,,,,
児,178,7,"[' child young (animal) young woman/young geisha offshoot interest new shares player who is not a dealer (in cards, mahjong, etc.) bird egg -er (often of young women),', ' child/boy I/me,', ' baby/child]']","['こ', 'じ', 'やや']","['｜', '日', '儿']",['児'],[4],['象形 Pictographic'],[2],[92950],[75131],['P']
兔,179,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['免', '丶', '儿']",,,,,,,
党,180,10,"[' party (political) person who is fond of/fan of,', ' gathering/place where people gather police station/camp/barracks]']","['とう', 'たむろ']","['口', '⺌', '儿', '冖']",['党'],[6],['形声 Phonetic'],[2],[495041],[269334],['S']
兢,181,14,[],[],"['口', '十', '儿']",,,,,,,
入,182,2,"[' entering setting (of the Sun) containing/content/audience income beginning,', ' counter for soakings (of fabric in a dye)]']","['いり', 'り', 'しお']",['入'],['入'],[1],['象形 Pictographic'],[5],[569966],[562966],['R']
全,183,6,[' all/whole/entire/complete/total/pan- complete (set)/in total]'],['ぜん'],"['王', 'ハ', '𠆢']",['全'],[3],['象形 Pictographic'],[3],[462041],[444404],['R']
兪,184,9,[],[],"['月', '入', '𠆢']",,,,,,,
八,185,2,"[' eight, パー', ' eight]']",['はち'],['ハ'],['八'],[1],['指事 Ideographic'],[5],[82792],[57038],['R']
公,186,4,"["" you/buddy/pal monarch/ruler/sovereign/(one's) master,"", ' official/governmental/formal public (use, matter, forum, etc.)/common being public knowledge/being out in the open/exposure to public view,', ' public matter/governmental matter prince/duke lord/sir familiar or derogatory suffix]']","['きみ', 'おおやけ', 'こう']","['ハ', '厶']",['公'],[2],['象形 Pictographic'],[4],[380111],[328700],['R']
六,187,4,"[' six, リュー', ' six]']",['ろく'],"['ハ', '亠']",['六'],[1],['仮借 Loan'],[5],[57761],[49930],['R']
共,188,6,"[' first-person plural (or singular) second or third person plural (implies speaker is of higher status than those referred to),', ' together with same both/all/neither/none including ...,', ' including.../with .../inclusive of/...and all,', ' together with ...]']","['ども', 'とも', 'ごと', 'むた']","['ハ', '｜', '一', '二']",['共'],[4],['会意 Com. Ideographic'],[3],[222581],[183137],['R']
兵,189,7,"[' war/battle/campaign/fight troops/forces,', ' (common) soldier/rank and file army/troops warfare/strategy,', ' warrior/soldier courageous person/strong person,', ' pawn]']","['いくさ', 'へい', 'つわもの', 'ひょう']","['一', '斤', 'ハ']",['兵'],[4],['会意 Com. Ideographic'],[2],[90710],[63695],['P']
其,190,8,"[' that/it then/that point (in time)/that time there you,', ' that you oneself/themself,', ' that he/she/that person]']","['それ', 'れ', 'し', 'そ']","['一', '甘', 'ハ']",,,,,,,
具,191,8,"[' tool/means ingredients (added to soup, rice, etc.) counter for sets of armor, utensils, furniture, etc.,', ' wife my dear/dear/honey garnish (esp. one served with sashimi) embellishment]']","['ぐ', 'つま']","['一', 'ハ', '目']",['具'],[3],['会意 Com. Ideographic'],[3],[57111],[56159],['P']
典,192,8,"[' ceremony/celebration law code,', ' rule/law]']","['てん', 'のり']","['｜', '一', '日', 'ハ']",['典'],[4],['会意 Com. Ideographic'],[1],[31631],[23327],['P']
兼,193,10,[' cum (e.g. bedroom-cum-study)/holding both roles (e.g. Prime Minister and Minister of Foreign Affairs)/and/in addition/concurrently/at the same time]'],['けん'],"['｜', 'ヨ', '一', 'ハ', '并']",['兼'],[7],['会意 Com. Ideographic'],[1],[20997],[19476],['R']
内,194,4,"["" inside/within while (e.g. one is young)/during/within (e.g. a day)/in the course of among/amongst/(out) of/between in (secret, chaos, poverty, etc.)/amidst/with (e.g. success) within oneself/one's feelings/inner thoughts we/our company/our organization one's home/one's family my spouse/my husband/my wife signed on behalf of (husband's name) by his wife 10. I/me 11. imperial palace grounds 12. emperor,"", ' inside/within]']","['うち', 'ない']","['人', '冂']",['内'],[2],['象形 Pictographic'],[3],[577184],[506360],['R']
円,195,4,"[' yen (Japanese monetary unit) circle,', "" circle entirety/whole/full/complete money/dough/moola enclosure inside a castle's walls soft-shelled turtle suffix for ship names/suffix for names of people (esp. infants)/suffix for names of swords, armour, musical instruments, etc./suffix for names of dogs, horses, etc.]""]","['えん', 'まる']","['冂', '亠', '一', '｜']",['円'],[1],['形声 Phonetic'],[5],[500580],[496542],['R']
再,196,6,[' re-/again/repeated/deutero-/deuto-/deuter-]'],['さい'],"['｜', '一', '冂', '王']",['再'],[5],['象形 Pictographic'],[2],[207701],[207615],['R']
冒,197,9,[],[],"['日', '目']",['冒'],[7],['会意 Com. Ideographic'],[1],[10517],[10517],['.']
冗,198,4,[' waste/uselessness/redundance]'],['じょう'],"['冖', '几']",['冗'],[7],['会意 Com. Ideographic'],[1],[2373],[2373],['R']
写,199,5,[],[],"['一', '冖', '勹']",['写'],[3],['会意 Com. Ideographic'],[4],[261896],[261182],['P']
冠,200,9,"[' traditional cap worn by Shinto clergy and courtiers crown/diadem/coronet top kanji radical first verse of a haikai, etc. best/peerless/first name/title/named sponsorship of a program, event, team, etc.,', ' order/rank]']","['かんむり', 'かぶり']","['寸', '儿', '冖']",['冠'],[7],['会意 Com. Ideographic'],[1],[11741],[11129],['P']
冥,201,10,[],[],"['日', 'ハ', '亠', '冖']",['冥'],[7],['象形 Pictographic'],[0],[1680],[1680],['R']
冬,202,5,[' winter]'],['ふゆ'],"['夂', '丶', '攵']",['冬'],[2],['象形 Pictographic'],[4],[26702],[25386],['S']
冰,203,6,[' ice hail]'],['ひ'],"['水', '冫']",,,,,,,
冶,204,7,[' melting]'],['や'],"['口', '冫', '厶']",['冶'],[7],['形声 Phonetic'],[1],[460],[277],['.']
冷,205,7,"[' refrigerator cold/cool cold sake,', ' cold water cold sake cold/cool/chilled/unheated]']","['れい', 'ひや', 'や']","['𠆢', '冫', '卩', '一']",['冷'],[4],['形声 Phonetic'],[3],[40543],[40483],['R']
凄,206,10,[],[],"['女', '冫', 'ヨ', '十']",['凄'],[7],['形声 Phonetic'],[0],[510],[510],['R']
凋,207,10,[],[],"['口', '土', '冂', '冫']",,,,,,,
凍,208,10,[],[],"['｜', '一', '日', '木', '冫', '田']",['凍'],[7],['形声 Phonetic'],[2],[15654],[15654],['S']
凛,209,15,[' cold/frigid/bracing dignified]'],['りん'],"['口', '示', '二', '小', '亠', '冫', '囗']",,,,,,,
凝,210,16,"[' muscle stiffness (esp. in shoulders) lump (in tissue, esp. breast)/swelling/hardening/lesion lingering discomfort/uneasiness/bad aftertaste/unpleasant feeling]']","['しこり', 'り']","['矢', '冫', '匕', 'マ', '疋']",['凝'],[7],['形声 Phonetic'],[1],[3717],[3717],['R']
几,211,2,[' armrest desk/table]'],['おしまずき'],['几'],,,,,,,
凡,212,3,"[' about/roughly/approximately generally/on the whole/as a rule completely/quite/entirely/altogether/totally/not at all (with neg. verb) outline/gist,', ' ordinary/common/mediocre]']","['おおよそ', 'ぼん']","['丶', '几']",['凡'],[7],['象形 Pictographic'],[1],[5003],[4378],['R']
処,213,5,"["" place/spot/scene/site address district/area/locality one's house point/aspect/side/facet passage (in text)/part space/room thing/matter whereupon/as a result 10. about to/on the verge of 11. was just doing/was in the process of doing/have just done/just finished doing,"", ' restaurant/specialist]']","['ところ', 'どころ']","['几', '夂', '攵']",['処'],[6],['会意 Com. Ideographic'],[3],[92803],[92789],['S']
凰,214,11,"[' large bird peng (in Chinese mythology, giant bird said to transform from a fish) fenghuang (Chinese phoenix),', ' huang (female Chinese firebird)]']","['おおとり', 'おう']","['王', '白', '几']",,,,,,,
凱,215,12,[],[],"['口', '山', '豆', '并', '几']",,,,,,,
凶,216,4,[' bad luck/bad fortune evil/wickedness]'],['きょう'],"['凵', '丶', 'ノ']",['凶'],[7],['象形 Pictographic'],[1],[4290],[4290],['R']
出,217,5,"["" coming out/going out/outflow/efflux/rising (of the Sun or the Moon) attending (work)/appearing (on stage)/one's turn to go on start/beginning origins/background/person (or item) originating from .../graduate of .../native of .../member of ... (lineage) architectural member that projects outward highest point of the stern of a ship amount (comprising something)/amount of time or effort required to do something,"", ' coming out/emerging being born into (a certain family)/being a native of (a particular place)]']","['で', 'しゅつ']","['｜', '山']",['出'],[1],['象形 Pictographic'],[5],[956723],[938651],['S']
刀,218,2,[' sword (esp. Japanese single-edged)/katana scalpel chisel/burin/graver knife money (knife-shaped commodity money used in ancient China)]'],['かたな'],['刀'],['刀'],[2],['象形 Pictographic'],[1],[5979],[5496],['P']
