,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
唱,393,11,[],[],"['口', '日']",['唱'],[4],['形声 Phonetic'],[1],[15042],[15042],['P']
唳,394,10,[],[],"['戸', '口', '大', '一', '尸']",,,,,,,
唾,395,11,[' saliva/spit/sputum]'],['つば'],"['｜', 'ノ', '一', '口']",['唾'],[7],['形声 Phonetic'],[0],[349],[349],['.']
商,396,11,"[' quotient dealing/dealer/store second degree (of the Japanese and Chinese pentatonic scale) Shang dynasty (China, approx. 1600-1046 BCE)/Yin dynasty]']",['しょう'],"['口', '并', '立', '亠', '儿', '冂']",['商'],[3],['会意 Com. Ideographic'],[3],[106813],[93620],['R']
問,397,11,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']","['口', '門']",['問'],[3],['会意 Com. Ideographic'],[4],[433896],[433569],['P']
啓,398,11,[],[],"['戸', '口', '攵', '一', '尸']",['啓'],[7],['会意 Com. Ideographic'],[1],[14249],[5090],['S']
啼,399,12,[],[],"['巾', '口', '并', '立', '亠', '冖']",,,,,,,
啾,400,12,[],[],"['火', '禾', '口']",,,,,,,
喃,401,12,"["" excuse me! (when calling out to someone) right?/don't you agree?]""]",['のう'],"['干', '口', '十', '并', '冂']",,,,,,,
善,402,12,[' good/goodness/right/virtue]'],['ぜん'],"['王', '口', '并', '羊']",['善'],[6],['会意 Com. Ideographic'],[1],[58196],[45066],['S']
喉,403,12,"[' throat singing voice,', ' fish counter for fish]']","['のど', 'こん']","['⺅', '口', '矢']",['喉'],[7],['形声 Phonetic'],[0],[510],[510],['.']
喋,404,12,[],[],"['口', '木', '世']",,,,,,,
喘,405,12,[],[],"['｜', '一', '口', '山', '而', '冂']",,,,,,,
喙,406,12,[' beak/bill]'],['くちばし'],"['ヨ', '口', '豕']",,,,,,,
喚,407,12,[],[],"['口', '大', '儿', '冂', '勹']",['喚'],[7],['形声 Phonetic'],[1],[4705],[4705],['S']
喜,408,12,[],[],"['口', '士', '豆', '并']",['喜'],[4],['会意 Com. Ideographic'],[3],[59165],[31074],['S']
喝,409,11,[' exclamation used to scold practitioners (in Zen) scolding or threatening with a shout]'],['かつ'],"['口', '日', '勹', '匕']",['喝'],[7],['形声 Phonetic'],[1],[3366],[3366],['S']
喧,410,12,[],[],"['一', '口', '日', '宀']",,,,,,,
喩,411,12,[],[],"['刂', '月', '口', '𠆢']",['喩'],[7],['形声 Phonetic'],[0],[333],[333],['P']
喪,412,12,[' mourning calamity/misfortune]'],['も'],"['｜', '衣', '一', '口']",['喪'],[7],['会意 Com. Ideographic'],[1],[15053],[15053],['S']
営,413,12,[],[],"['口', '⺌', '冖']",['営'],[5],['形声 Phonetic'],[2],[176041],[174443],['P']
嗜,414,13,[],[],"['口', '日', '⺹']",,,,,,,
嗟,415,13,[' ah!/oh!/alas! yes/indeed/that is correct aah/gah/argh hey!/yo! uh huh/yeah yeah/right/gotcha]'],['ああ'],"['ノ', '王', '口', '工', '并', '羊']",,,,,,,
嘆,416,13,[' sigh grief/lamentation]'],['たん'],"['ノ', '一', '口', '⺾']",['嘆'],[7],['形声 Phonetic'],[1],[5929],[5929],['S']
